19-09-03 00:44:06    Log Started
19-09-03 00:44:06 Opened /home/tino/gathers/servers/gather18/soldat.ini
19-09-03 00:44:06 Creating network interface.
19-09-03 00:44:06 Loading Animations.
19-09-03 00:44:06 Loading Lobby Servers List
19-09-03 00:44:06 Loading Maps List
19-09-03 00:44:06 Loading Map.
19-09-03 00:44:06 Creating Weapons.
19-09-03 00:44:06 Starting Game Server.
19-09-03 00:44:06 TCP/IP File Server started
19-09-03 00:45:28  Net - sk!T.Rattle connected 3-9-19 00:45:28
19-09-03 00:45:40  Net - sk!T.Rattle disconnected 3-9-19 00:45:40
19-09-03 01:14:06 TCP/IP File Server started
19-09-03 01:44:06 TCP/IP File Server started
19-09-03 02:14:06 TCP/IP File Server started
19-09-03 02:44:06 TCP/IP File Server started
19-09-03 03:14:06 TCP/IP File Server started
19-09-03 03:44:06 TCP/IP File Server started
19-09-03 04:14:06 TCP/IP File Server started
19-09-03 04:44:06 TCP/IP File Server started
19-09-03 05:14:06 TCP/IP File Server started
19-09-03 05:44:06 TCP/IP File Server started
19-09-03 06:14:06 TCP/IP File Server started
19-09-03 06:44:06 TCP/IP File Server started
19-09-03 07:14:06 TCP/IP File Server started
19-09-03 07:44:06 TCP/IP File Server started
19-09-03 08:14:06 TCP/IP File Server started
19-09-03 08:44:06 TCP/IP File Server started
19-09-03 09:14:06 TCP/IP File Server started
19-09-03 09:44:06 TCP/IP File Server started
19-09-03 10:14:06 TCP/IP File Server started
19-09-03 10:44:06 TCP/IP File Server started
19-09-03 11:14:06 TCP/IP File Server started
19-09-03 11:44:06 TCP/IP File Server started
19-09-03 12:14:06 TCP/IP File Server started
19-09-03 12:44:06 TCP/IP File Server started
19-09-03 13:14:06 TCP/IP File Server started
19-09-03 13:44:06 TCP/IP File Server started
19-09-03 14:14:06 TCP/IP File Server started
19-09-03 14:44:06 TCP/IP File Server started
19-09-03 15:14:06 TCP/IP File Server started
19-09-03 15:44:06 TCP/IP File Server started
19-09-03 16:14:06 TCP/IP File Server started
19-09-03 16:44:06 TCP/IP File Server started
19-09-03 17:14:06 TCP/IP File Server started
19-09-03 17:44:06 TCP/IP File Server started
19-09-03 18:14:06 TCP/IP File Server started
19-09-03 18:44:06 TCP/IP File Server started
19-09-03 19:14:06 TCP/IP File Server started
19-09-03 19:44:06 TCP/IP File Server started
19-09-03 20:14:06 TCP/IP File Server started
19-09-03 20:44:06 TCP/IP File Server started
19-09-03 21:14:06 TCP/IP File Server started
19-09-03 21:44:06 TCP/IP File Server started
19-09-03 22:14:06 TCP/IP File Server started
19-09-03 22:44:06 TCP/IP File Server started
19-09-03 23:14:06 TCP/IP File Server started
19-09-03 23:44:06 TCP/IP File Server started
19-09-04 00:14:06 TCP/IP File Server started
19-09-04 00:44:06 TCP/IP File Server started
19-09-04 01:14:06 TCP/IP File Server started
19-09-04 01:44:06 TCP/IP File Server started
19-09-04 02:14:06 TCP/IP File Server started
19-09-04 02:44:06 TCP/IP File Server started
19-09-04 03:14:06 TCP/IP File Server started
19-09-04 03:44:06 TCP/IP File Server started
19-09-04 04:14:06 TCP/IP File Server started
19-09-04 04:44:06 TCP/IP File Server started
19-09-04 05:14:06 TCP/IP File Server started
19-09-04 05:44:06 TCP/IP File Server started
19-09-04 06:14:06 TCP/IP File Server started
19-09-04 06:44:06 TCP/IP File Server started
19-09-04 07:14:06 TCP/IP File Server started
19-09-04 07:44:06 TCP/IP File Server started
19-09-04 08:14:06 TCP/IP File Server started
19-09-04 08:44:06 TCP/IP File Server started
19-09-04 09:14:06 TCP/IP File Server started
19-09-04 09:44:06 TCP/IP File Server started
19-09-04 10:14:06 TCP/IP File Server started
19-09-04 10:44:06 TCP/IP File Server started
19-09-04 11:14:06 TCP/IP File Server started
19-09-04 11:44:06 TCP/IP File Server started
19-09-04 12:14:06 TCP/IP File Server started
19-09-04 12:44:06 TCP/IP File Server started
19-09-04 13:14:06 TCP/IP File Server started
19-09-04 13:44:06 TCP/IP File Server started
19-09-04 14:14:06 TCP/IP File Server started
19-09-04 14:44:06 TCP/IP File Server started
19-09-04 15:14:06 TCP/IP File Server started
19-09-04 15:44:06 TCP/IP File Server started
19-09-04 16:14:06 TCP/IP File Server started
19-09-04 16:44:06 TCP/IP File Server started
19-09-04 17:14:06 TCP/IP File Server started
19-09-04 17:44:06 TCP/IP File Server started
19-09-04 18:14:06 TCP/IP File Server started
19-09-04 18:44:06 TCP/IP File Server started
19-09-04 19:14:06 TCP/IP File Server started
19-09-04 19:44:06 TCP/IP File Server started
19-09-04 20:14:06 TCP/IP File Server started
19-09-04 20:44:06 TCP/IP File Server started
19-09-04 21:14:06 TCP/IP File Server started
19-09-04 21:44:06 TCP/IP File Server started
19-09-04 22:14:06 TCP/IP File Server started
19-09-04 22:44:06 TCP/IP File Server started
19-09-04 23:14:06 TCP/IP File Server started
19-09-04 23:44:06 TCP/IP File Server started
19-09-05 00:14:06 TCP/IP File Server started
19-09-05 00:44:06 TCP/IP File Server started
19-09-05 01:14:06 TCP/IP File Server started
19-09-05 01:44:06 TCP/IP File Server started
19-09-05 02:14:06 TCP/IP File Server started
19-09-05 02:44:06 TCP/IP File Server started
19-09-05 03:14:06 TCP/IP File Server started
19-09-05 03:44:06 TCP/IP File Server started
19-09-05 04:14:06 TCP/IP File Server started
19-09-05 04:44:06 TCP/IP File Server started
19-09-05 05:14:06 TCP/IP File Server started
19-09-05 05:44:06 TCP/IP File Server started
19-09-05 06:14:06 TCP/IP File Server started
19-09-05 06:44:06 TCP/IP File Server started
19-09-05 07:14:06 TCP/IP File Server started
19-09-05 07:44:06 TCP/IP File Server started
19-09-05 08:14:06 TCP/IP File Server started
19-09-05 08:44:06 TCP/IP File Server started
19-09-05 09:14:06 TCP/IP File Server started
19-09-05 09:44:06 TCP/IP File Server started
19-09-05 10:14:06 TCP/IP File Server started
19-09-05 10:44:06 TCP/IP File Server started
19-09-05 11:14:06 TCP/IP File Server started
19-09-05 11:44:06 TCP/IP File Server started
19-09-05 12:14:06 TCP/IP File Server started
19-09-05 12:44:06 TCP/IP File Server started
19-09-05 13:14:06 TCP/IP File Server started
19-09-05 13:44:06 TCP/IP File Server started
19-09-05 14:14:06 TCP/IP File Server started
19-09-05 14:44:06 TCP/IP File Server started
19-09-05 15:14:06 TCP/IP File Server started
19-09-05 15:44:06 TCP/IP File Server started
19-09-05 16:14:06 TCP/IP File Server started
19-09-05 16:44:06 TCP/IP File Server started
19-09-05 17:14:06 TCP/IP File Server started
19-09-05 17:44:06 TCP/IP File Server started
19-09-05 18:14:06 TCP/IP File Server started
19-09-05 18:44:06 TCP/IP File Server started
19-09-05 19:14:06 TCP/IP File Server started
19-09-05 19:44:06 TCP/IP File Server started
19-09-05 20:14:06 TCP/IP File Server started
19-09-05 20:44:06 TCP/IP File Server started
19-09-05 21:14:06 TCP/IP File Server started
19-09-05 21:44:06 TCP/IP File Server started
19-09-05 22:14:06 TCP/IP File Server started
19-09-05 22:44:06 TCP/IP File Server started
19-09-05 23:14:06 TCP/IP File Server started
19-09-05 23:44:06 TCP/IP File Server started
19-09-06 00:14:06 TCP/IP File Server started
19-09-06 00:44:06 TCP/IP File Server started
19-09-06 01:14:06 TCP/IP File Server started
19-09-06 01:44:06 TCP/IP File Server started
19-09-06 02:14:06 TCP/IP File Server started
19-09-06 02:44:06 TCP/IP File Server started
19-09-06 03:14:06 TCP/IP File Server started
19-09-06 03:44:06 TCP/IP File Server started
19-09-06 04:14:06 TCP/IP File Server started
19-09-06 04:44:06 TCP/IP File Server started
19-09-06 05:14:06 TCP/IP File Server started
19-09-06 05:44:06 TCP/IP File Server started
19-09-06 06:14:06 TCP/IP File Server started
19-09-06 06:44:06 TCP/IP File Server started
19-09-06 07:14:06 TCP/IP File Server started
19-09-06 07:44:06 TCP/IP File Server started
19-09-06 08:14:06 TCP/IP File Server started
19-09-06 08:44:06 TCP/IP File Server started
19-09-06 09:14:06 TCP/IP File Server started
19-09-06 09:44:06 TCP/IP File Server started
19-09-06 10:14:06 TCP/IP File Server started
19-09-06 10:44:06 TCP/IP File Server started
19-09-06 11:14:06 TCP/IP File Server started
19-09-06 11:44:06 TCP/IP File Server started
19-09-06 12:14:06 TCP/IP File Server started
19-09-06 12:44:06 TCP/IP File Server started
19-09-06 13:14:06 TCP/IP File Server started
19-09-06 13:44:06 TCP/IP File Server started
19-09-06 14:14:06 TCP/IP File Server started
19-09-06 14:44:06 TCP/IP File Server started
19-09-06 15:14:06 TCP/IP File Server started
19-09-06 15:44:06 TCP/IP File Server started
19-09-06 16:14:06 TCP/IP File Server started
19-09-06 16:44:06 TCP/IP File Server started
19-09-06 17:14:06 TCP/IP File Server started
19-09-06 17:44:06 TCP/IP File Server started
19-09-06 18:14:06 TCP/IP File Server started
19-09-06 18:44:06 TCP/IP File Server started
19-09-06 19:14:06 TCP/IP File Server started
19-09-06 19:44:06 TCP/IP File Server started
19-09-06 20:14:06 TCP/IP File Server started
19-09-06 20:44:06 TCP/IP File Server started
19-09-06 21:14:06 TCP/IP File Server started
19-09-06 21:44:06 TCP/IP File Server started
19-09-06 22:14:06 TCP/IP File Server started
19-09-06 22:44:06 TCP/IP File Server started
19-09-06 23:14:06 TCP/IP File Server started
19-09-06 23:44:06 TCP/IP File Server started
19-09-07 00:14:06 TCP/IP File Server started
19-09-07 00:44:06 TCP/IP File Server started
19-09-07 01:14:06 TCP/IP File Server started
19-09-07 01:44:06 TCP/IP File Server started
19-09-07 02:14:06 TCP/IP File Server started
19-09-07 02:44:06 TCP/IP File Server started
19-09-07 03:14:06 TCP/IP File Server started
19-09-07 03:44:06 TCP/IP File Server started
19-09-07 04:14:06 TCP/IP File Server started
19-09-07 04:44:06 TCP/IP File Server started
19-09-07 05:14:06 TCP/IP File Server started
19-09-07 05:44:06 TCP/IP File Server started
19-09-07 06:14:06 TCP/IP File Server started
19-09-07 06:44:06 TCP/IP File Server started
19-09-07 07:14:06 TCP/IP File Server started
19-09-07 07:44:06 TCP/IP File Server started
19-09-07 08:14:06 TCP/IP File Server started
19-09-07 08:44:06 TCP/IP File Server started
19-09-07 09:14:06 TCP/IP File Server started
19-09-07 09:44:06 TCP/IP File Server started
19-09-07 10:14:06 TCP/IP File Server started
19-09-07 10:44:06 TCP/IP File Server started
19-09-07 11:14:06 TCP/IP File Server started
19-09-07 11:44:06 TCP/IP File Server started
19-09-07 12:14:06 TCP/IP File Server started
19-09-07 12:44:06 TCP/IP File Server started
19-09-07 13:14:06 TCP/IP File Server started
19-09-07 13:44:08 TCP/IP File Server started
19-09-07 14:14:08 TCP/IP File Server started
19-09-07 14:44:08 TCP/IP File Server started
19-09-07 15:14:08 TCP/IP File Server started
19-09-07 15:44:08 TCP/IP File Server started
19-09-07 16:14:08 TCP/IP File Server started
19-09-07 16:44:08 TCP/IP File Server started
19-09-07 17:14:08 TCP/IP File Server started
19-09-07 17:44:08 TCP/IP File Server started
19-09-07 18:14:08 TCP/IP File Server started
19-09-07 18:44:08 TCP/IP File Server started
19-09-07 19:14:08 TCP/IP File Server started
19-09-07 19:44:08 TCP/IP File Server started
19-09-07 20:14:08 TCP/IP File Server started
19-09-07 20:44:08 TCP/IP File Server started
19-09-07 21:14:08 TCP/IP File Server started
19-09-07 21:44:08 TCP/IP File Server started
19-09-07 22:14:08 TCP/IP File Server started
19-09-07 22:44:08 TCP/IP File Server started
19-09-07 23:14:08 TCP/IP File Server started
19-09-07 23:44:08 TCP/IP File Server started
19-09-08 00:14:08 TCP/IP File Server started
19-09-08 00:44:08 TCP/IP File Server started
19-09-08 01:14:08 TCP/IP File Server started
19-09-08 01:44:08 TCP/IP File Server started
19-09-08 02:14:08 TCP/IP File Server started
19-09-08 02:44:08 TCP/IP File Server started
19-09-08 03:14:08 TCP/IP File Server started
19-09-08 03:44:08 TCP/IP File Server started
19-09-08 04:14:08 TCP/IP File Server started
19-09-08 04:44:08 TCP/IP File Server started
19-09-08 05:14:08 TCP/IP File Server started
19-09-08 05:44:08 TCP/IP File Server started
19-09-08 06:14:08 TCP/IP File Server started
19-09-08 06:44:08 TCP/IP File Server started
19-09-08 07:14:08 TCP/IP File Server started
19-09-08 07:44:08 TCP/IP File Server started
19-09-08 08:14:08 TCP/IP File Server started
19-09-08 08:44:08 TCP/IP File Server started
19-09-08 09:14:08 TCP/IP File Server started
19-09-08 09:44:08 TCP/IP File Server started
19-09-08 10:14:08 TCP/IP File Server started
19-09-08 10:44:08 TCP/IP File Server started
19-09-08 11:14:08 TCP/IP File Server started
19-09-08 11:44:08 TCP/IP File Server started
19-09-08 12:14:08 TCP/IP File Server started
19-09-08 12:44:08 TCP/IP File Server started
19-09-08 13:14:08 TCP/IP File Server started
19-09-08 13:44:08 TCP/IP File Server started
19-09-08 14:14:08 TCP/IP File Server started
19-09-08 14:44:08 TCP/IP File Server started
19-09-08 15:14:08 TCP/IP File Server started
19-09-08 15:44:08 TCP/IP File Server started
19-09-08 16:14:08 TCP/IP File Server started
19-09-08 16:44:08 TCP/IP File Server started
19-09-08 17:14:08 TCP/IP File Server started
19-09-08 17:44:08 TCP/IP File Server started
19-09-08 18:14:08 TCP/IP File Server started
19-09-08 18:44:08 TCP/IP File Server started
19-09-08 19:14:08 TCP/IP File Server started
19-09-08 19:44:08 TCP/IP File Server started
19-09-08 20:14:08 TCP/IP File Server started
19-09-08 20:44:08 TCP/IP File Server started
19-09-08 21:14:08 TCP/IP File Server started
19-09-08 21:44:08 TCP/IP File Server started
19-09-08 22:14:08 TCP/IP File Server started
19-09-08 22:44:08 TCP/IP File Server started
19-09-08 23:14:08 TCP/IP File Server started
